Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u/100V,
C10,0805,1,1u,
C11,0805,1,47u,
C12,0805,1,1u,
C2,0805,1,6n8,
C3,0805,1,100n,
C4,0805,1,???,
C5,0805,1,47u,
C6,0805,1,1u,
C7,0805,1,1u,
C8,0805,1,1u,
C9,0805,1,47u,
D1,D_SMB,1,SK22,
D2,0805,1,LED,
"H1, H2, H3, H4",MountingHole_3.7mm_Pad_Via,4,MountingHole,
J1,DG235-3.81-02P,1,BATT,
J2,PinHeader_1x03_P2.54mm_Horizontal,1,PROG,
J3,JST_XH_S5B-XH-A-1_1x05_P2.50mm_Horizontal,1,CURRENT,
J4,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,TEMP,
J5,PinSocket_1x11_P2.54mm_Vertical,1,ILI9225,
L1,L_12x12mm_H6mm,1,33uH,
R1,0805,1,100k,
R10,0805,1,100k,
R11,0805,1,27k,
R12,0805,1,10k,
R13,0805,1,270R,
R2,0805,1,20k,
R3,0805,1,47k,
R4,0805,1,10k,
R5,0805,1,3k,
R6,0805,1,750R,
R7,0805,1,100k,
R8,0805,1,3k9,
R9,0805,1,27k,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10k,
U1,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias,1,BD9G341EFJ,
U2,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
