Designator,Mid X,Mid Y,Rotation,Layer
C1,100.0,-90.0,270.0,top
C10,147.0,-95.0,0.0,top
C11,126.0,-66.0,90.0,top
C12,188.0,-72.0,0.0,top
C2,103.0,-76.0,0.0,top
C3,109.0,-90.0,90.0,top
C4,103.0,-73.0,0.0,top
C5,125.0,-73.0,180.0,top
C6,193.0,-98.0,90.0,top
C7,190.0,-98.0,90.0,top
C8,187.0,-98.0,90.0,top
C9,120.0,-73.0,0.0,top
D1,112.0,-75.0,0.0,top
D2,109.0,-65.0,180.0,top
J1,110.73,-99.825,0.0,top
J2,175.525,-98.625,270.0,top
J3,140.0,-101.0,0.0,top
J4,159.75,-101.15,0.0,top
J5,130.0,-97.7,180.0,top
L1,119.0,-85.0,0.0,top
R1,106.0,-90.0,90.0,top
R10,137.0,-91.0,270.0,top
R11,184.0,-98.0,90.0,top
R12,192.0,-72.0,180.0,top
R13,109.0,-62.0,180.0,top
R2,103.0,-90.0,270.0,top
R3,100.0,-84.0,90.0,top
R4,100.0,-79.0,270.0,top
R5,125.0,-76.0,180.0,top
R6,120.0,-76.0,180.0,top
R7,121.0,-99.0,270.0,top
R8,121.0,-103.0,270.0,top
R9,140.0,-91.0,90.0,top
RV1,144.92,-91.0,180.0,top
U1,105.35,-81.95,270.0,top
U2,119.0,-65.85,90.0,top
U3,190.0,-85.0,270.0,top
